index,obsid,RA_(J2000),Dec_(J2000)
11,74146007,59.98622,-0.01296
14,74146009,59.9894,-0.03133
28,30813032,64.15163,1.08873
29,30813018,64.16355,1.12553
30,30813031,64.16797,1.07709
31,30813039,64.17563,1.05207
32,30813040,64.17648,1.13587
34,30813024,64.18287,1.09408
35,30813020,64.18605,1.06438
36,30813033,64.18861,1.11183
37,30813013,64.18919,1.03203
38,30813005,64.18942,1.06263
39,30813023,64.19123,1.09068
40,30813019,64.19205,1.09375
41,30813006,64.19232,1.08094
42,30813022,64.19295,1.08098
43,30813004,64.19347,1.06334
46,30813009,64.2002,1.10092
47,30813015,64.20342,1.05879
48,30813007,64.20652,1.10413
49,30813008,64.20861,1.09693
50,81691001,64.20924,1.09562
51,30813010,64.21137,1.12082
52,81691002,64.21424,1.09943
53,30813017,64.21443,1.09335
54,30813029,64.21576,1.07891
55,30813036,64.21857,1.10096
56,30813028,64.2187,1.04996
57,30813016,64.22195,1.05258
58,30813011,64.22881,1.10703
59,30813021,64.2394,1.08731
61,30813012,64.24818,1.10967
62,30813001,64.24898,1.05605
63,30813026,64.24959,1.04307
64,30813003,64.25037,1.04713
65,30813014,64.25274,1.0849
66,30813037,64.25373,1.05318
67,30813030,64.25639,1.05769
68,30813027,64.25716,1.08403
69,30813002,64.26409,1.0606
86,36192004,66.14572,0.64661
90,36192010,66.21029,0.60709
91,36192009,66.21034,0.60064
93,36192005,66.21155,0.634
97,36192011,66.24135,0.60199
99,31837004,67.63986,0.87472
100,31837006,67.65242,0.86802
101,31837001,67.67114,0.87658
102,31837003,67.67526,0.85793
103,31837005,67.67607,0.86947
104,31837007,67.67665,0.89597
105,31837002,67.686,0.87202
106,82649001,68.45042,-1.15895
107,82649003,68.48411,-1.13139
113,74836001,69.9901,0.01256
119,36312003,70.62108,-0.32835
120,36312001,70.62514,-0.3174
122,32892002,70.671,-0.31914
123,32892001,70.67253,-0.313
125,82131003,72.12238,0.29896
126,82131004,72.12425,0.31405
127,82131002,72.14551,0.27068
128,82131005,72.14591,0.26659
130,45838002,73.23121,0.11853
131,45838001,73.25435,0.11565
132,48547002,74.72414,-0.40785
133,48547001,74.73171,-0.44391
