Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82p37p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0679933772,24.8067131137
S82p37p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0484501418
S82p37p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0381005825,24.8434534203
S82p37p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.0819225517
S82p37p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9121969458,-0.609437912434
S82p37p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p37p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.2633839935
S82p37p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3433410696
S82p35p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.1646980702,24.9451324904
S82p35p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.1872000027
S82p35p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.1822778116,24.9833050182
S82p35p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.2221059836
S82p35p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.9446901571,-0.609437912434
S82p35p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p35p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.3880176992
S82p35p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4614590473
S82m10m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8551921256,24.6402086127
S82m10m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.871457128
S82m10m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8268253219,24.6681174487
S82m10m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8978372271
S82m10m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7320117822,-0.609437912434
S82m10m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m10m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.137091463,25.1814185375
S82m10m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2647515616
S82m36m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8691335834,24.6951672831
S82m36m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.884485403
S82m36m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8792038951,24.7347785869
S82m36m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9246352939
S82m36m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7153704983,-0.609437912434
S82m36m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m36m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.29594443,25.3302169956
S82m36m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4228427855
S82p6p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7723536177,24.5791844279
S82p6p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8271487638
S82p6p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7850337935,24.6121158397
S82p6p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8563055868
S82p6p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.6701657036,-0.609437912434
S82p6p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p6p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.0796090282
S82p6p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.142670158
S82m0m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.5834163509,24.4361494622
S82m0m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.6793065407
S82m0m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.5928824166,24.4606780504
S82m0m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.7002606187
S82m0m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.4684683613,-0.609437912434
S82m0m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m0m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,24.8485595995,24.9478214968
S82m0m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9893354588
S82p20m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7726175979,24.5318028736
S82p20m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7811544765
S82p20m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.7872164984,24.5638214229
S82p20m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8099623453
S82p20m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.5578269683,-0.609437912434
S82p20m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p20m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9612961409
S82p20m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.0368974116
S82m22p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0654864219,24.8388609485
S82m22p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0666485842
S82m22p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0406068682,24.8783632933
S82m22p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1051724594
S82m22p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8425307734,-0.609437912434
S82m22p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82m22p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.3667607956
S82m22p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4753603999
S82m32m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8186771209,24.4743607445
S82m32m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.6734380577
S82m32m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8387734117,24.5289841626
