,OBJECT,RA,DEC,DOI,FITS
0,CrabNebula,83.6332124,22.0144601,http://dx.doi.org/10.1016/j.jheap.2015.01.002,FITS_out/MAGIC_2015_CrabNebula_SPECTRUM.fits
1,CrabNebula,83.6332124,22.0144601,http://dx.doi.org/10.1016/j.jheap.2015.01.002,FITS_out/MAGIC_2015_CrabNebula_SPECTRUM_1.fits
2,3C454,342.89473458,18.81112944,http://dx.doi.org/10.1051/0004-6361/200811326,FITS_out/MAGIC_2009_3C454_SPECTRUM.fits
3,3C454,342.89473458,18.81112944,http://dx.doi.org/10.1051/0004-6361/200811326,FITS_out/MAGIC_2009_3C454_SPECTRUM_1.fits
4,3C454,342.89473458,18.81112944,http://dx.doi.org/10.1051/0004-6361/200811326,FITS_out/MAGIC_2009_3C454_SPECTRUM_2.fits
5,PG 1553+113,238.92935,11.19010167,http://dx.doi.org/10.1051/0004-6361/200913607,FITS_out/MAGIC_2010_PG1553_mw2008_SPECTRUM.fits
6,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM.fits
7,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_1.fits
8,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_2.fits
9,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_3.fits
10,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_4.fits
11,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_5.fits
12,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_6.fits
13,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_7.fits
14,Markarian 421,166.113808083,38.208833083,http://dx.doi.org/10.1051/0004-6361/200913945,FITS_out/MAGIC_2010_Mrk421_mw2006_SPECTRUM_8.fits
15,M87,187.70593075,12.391123306,http://dx.doi.org/10.1051/0004-6361/201117827,FITS_out/MAGIC_2012_M87_SPECTRUM.fits
16,B32247,347.343870254,2.144386368,http://dx.doi.org/10.1051/0004-6361/201117967,FITS_out/MAGIC_2012_B32247_SPECTRUM.fits
17,B32247,347.343870254,2.144386368,http://dx.doi.org/10.1051/0004-6361/201117967,FITS_out/MAGIC_2012_B32247_SPECTRUM_1.fits
18,Perseus,49.950667083,41.511695306,http://dx.doi.org/10.1051/0004-6361/201118502,FITS_out/MAGIC_2012_Perseus_SPECTRUM.fits
19,Perseus,49.950667083,41.511695306,http://dx.doi.org/10.1051/0004-6361/201118502,FITS_out/MAGIC_2012_Perseus_SPECTRUM_1.fits
