z_spec,z_photo,z_photo_wgt,z_photo_err
0.3744147718,0.4692459404,1,0.0850693807
0.4767427742,0.5668363571,1,0.08164296299
0.4721982181,0.5194035769,1,0.04962180927
0.4781245291,0.5586119294,1,0.07608889788
0.5462067127,0.6197471023,1,0.0908864215
0.5275703669,0.5041152239,1,0.06905162334
0.5490856171,0.321600914,1,0.04895051941
0.6419428587,0.5455065966,1,0.0825798586
0.3565777838,0.3207890987,1,0.03591774032
0.5599617362,0.5575695038,1,0.07679700106
0.520701766,0.6081439853,1,0.08110699803
0.1405666471,0.4737550318,1,0.06561485678
0.6358563304,0.5854423642,1,0.07624451816
0.4301250875,0.5417253375,1,0.06087015942
0.3516414464,0.4050796032,1,0.06396623701
0.5668535233,0.5025913715,1,0.06798116118
0.0633796379,0.08748915792,1,0.04374479875
0.54727,0.5666268468,1,0.0593248792
0.5517414212,0.5052711964,1,0.06946823746
0.5865337253,0.5659934282,1,0.06952878088
0.4754570127,0.5441005826,1,0.06676799804
0.2607466877,0.2386134118,1,0.03454076871
0.4407915473,0.5489670038,1,0.05086728185
0.4683662653,0.5524716973,1,0.06217607856
0.3630860746,0.4006802142,1,0.06230897829
0.5984116793,0.4997511506,1,0.08868523687
0.6625297666,0.509988606,1,0.06605832279
0.5399609208,0.5210536122,1,0.04853472114
0.544444859,0.6501578093,1,0.08906263858
0.5614679456,0.5608341694,1,0.0629825294
0.4980560541,0.4887939394,1,0.09980321676
0.665656507,0.4962748289,1,0.09423042089
0.75070858,0.5692135096,1,0.0745735988
0.4088021219,0.3350265026,1,0.03949568048
0.4491281211,0.5600853562,1,0.05490209907
0.3297913671,0.4886906445,1,0.09373887628
0.2210378498,0.2541012764,1,0.0360182412
0.6020426154,0.5816019177,1,0.08503112197
0.5481241941,0.5497179031,1,0.06135800108
0.5011911392,0.5468113422,1,0.05975858867
0.7725751996,0.5173217058,1,0.07454515994
0.6924473047,0.5439760685,1,0.08007354289
0.4996371269,0.5264502764,1,0.1213742197
0.5315221548,0.5122605562,1,0.07344522327
0.5173341632,0.5228205323,1,0.05230439827
0.6178691387,0.5839235783,1,0.06907639652
0.5809502006,0.5575646758,1,0.07395864278
0.5324067473,0.5453788638,1,0.07078032196
0.4457172751,0.4082420766,1,0.06450630724
0.484788388,0.3229946792,1,0.05685120076
0.5040218234,0.5527836084,1,0.06517851353
0.5702608228,0.5216146708,1,0.06715367734
0.6898406744,0.5299164653,1,0.05864474177
0.382671535,0.3306579888,1,0.04037041962
0.4980469644,0.4519482553,1,0.05054448172
0.5182318687,0.4451899529,1,0.08408994228
0.7426163554,0.5582411289,1,0.07454303652
0.5761045814,0.5311666131,1,0.05221313983
0.2073500901,0.2295230925,1,0.03393778577
0.5068311691,0.5147601962,1,0.066735439
0.2890924513,0.2524493933,1,0.02499903925
0.3002219498,0.3173911572,1,0.03869206831
0.5251169205,0.4885552227,1,0.07019712031
0.4881266952,0.5551831126,1,0.06758136302
0.6123378873,0.5758411884,1,0.05707275122
0.4910176992,0.5795991421,1,0.07227823883
0.5742076635,0.5253282189,1,0.06465359777
0.5487174392,0.4949738681,1,0.0837938413
0.2640421093,0.2737780213,1,0.02057337575
0.4636102021,0.5144511461,1,0.0820247978
0.2526108325,0.2756636441,1,0.03843108565
0.01519714668,0.07380433381,1,0.03747611865
0.6580363512,0.5900700688,1,0.08099640161
0.3314564824,0.352779299,1,0.03971162066
0.5162197948,0.5449104309,1,0.0774531886
0.5486150384,0.5325000882,1,0.06133269146
0.3843464255,0.3187365532,1,0.08150832355
0.5742044449,0.4938834906,1,0.07585424185
0.4502002597,0.5169059634,1,0.06828007102
0.6362090707,0.5200232863,1,0.06211188063
0.4965438247,0.5344929099,1,0.06385903805
0.6309364438,0.5627477169,1,0.08125866205
0.4126665592,0.3877533972,1,0.0741141215
0.3514967263,0.3295354843,1,0.02629230917
0.3869175911,0.384380132,1,0.05344187841
0.5499939322,0.4837162495,1,0.06564039737
0.4842819571,0.4111949503,1,0.1148281619
0.4373058081,0.5372487307,1,0.07098627836
0.4930105209,0.5261800885,1,0.06151764095
0.592690587,0.56629318,1,0.06004735827
0.5582659841,0.5500289798,1,0.06360095739
0.3405441642,0.4427293539,1,0.08575859666
0.5467427373,0.4895373583,1,0.08254712075
0.4659610689,0.5139101148,1,0.05139428005
0.513105154,0.5273432136,1,0.05259072036
0.5231176019,0.5123896599,1,0.06792911887
0.4817095697,0.5059320927,1,0.07723882049
0.6654832363,0.4161427319,1,0.06683388352
0.3697153628,0.3207374513,1,0.0325724408
0.6120265722,0.5873298049,1,0.06410060078
0.4976464212,0.5126228929,1,0.06220870093
0.5697416663,0.5766245723,1,0.06388372183
0.4645455778,0.5427349806,1,0.0483273007
0.4534543753,0.5158990622,1,0.05026898906
0.2904688716,0.4925947189,1,0.09026896209
0.5080887079,0.5568830371,1,0.07069808245
0.5595010519,0.5766191483,1,0.06800863892
0.5060344934,0.5583088398,1,0.09115426242
0.5107167959,0.4938312769,1,0.07555171102
0.3083273172,0.3191594183,1,0.03206958622
0.3965187669,0.4569276273,1,0.07841365039
0.5148568153,0.4604722857,1,0.06763104349
0.4023405612,0.5697051883,1,0.05831595138
0.7815474272,0.6172474623,1,0.07300630212
0.4933822453,0.410035193,1,0.04784752056
0.4742416441,0.4627827704,1,0.07548624277
0.1957930177,0.2305203676,1,0.0197054483
0.5513238311,0.5789837837,1,0.08372113109
0.2877424657,0.5204585791,1,0.07103168219
0.4804248512,0.5996447802,1,0.08693307638
0.499035269,0.456137836,1,0.08627808094
0.5788139105,0.584703207,1,0.06861785799
0.5061824322,0.5728956461,1,0.07161696255
0.5645766258,0.518845737,1,0.08520311862
0.5920264125,0.5475076437,1,0.04431105033
0.5056299567,0.516258359,1,0.06549812853
0.4058575332,0.6200376749,1,0.07473711669
0.5385548472,0.503505528,1,0.08525087684
0.4014566839,0.3701962233,1,0.04664159939
0.4724852443,0.48994717,1,0.1070983633
0.5803312659,0.6217390895,1,0.08612964302
0.5329083204,0.5273157954,1,0.06520409882
0.537720263,0.5137740374,1,0.05993777886
0.2876954079,0.2549740076,1,0.0247786697
0.6993700862,0.5468948483,1,0.06978397816
0.2200763822,0.2626866996,1,0.0204647202
0.3737004101,0.3865476251,1,0.04670244083
0.3028368354,0.3256210685,1,0.04605120048
0.5094742179,0.5613682866,1,0.05637529865
0.6531811357,0.5394887924,1,0.08380057663
0.4652184546,0.5779183507,1,0.05884135887
0.3881694973,0.5436847806,1,0.07080415636
0.7411868572,0.5878219604,1,0.08086681366
0.6560260653,0.552755177,1,0.07335227728
0.5537914634,0.5155119896,1,0.07163856179
0.6930764318,0.6056246758,1,0.08104532212
0.5897083282,0.5418188572,1,0.06491603702
0.5266487002,0.5287376046,1,0.05060857907
0.4516086578,0.533108592,1,0.05839328095
0.3011130691,0.4187891781,1,0.1149352416
0.5330372453,0.4889802933,1,0.07249808311
0.5238876939,0.5278759599,1,0.104100883
0.813839376,0.5679866076,1,0.08005017787
0.4581535757,0.4835689366,1,0.07910767943
0.5258469582,0.5269480348,1,0.06853528321
