name,area
Canada,0.00956790123457
Bouvet I.,0.0
Lithuania,0.000138888888889
Cambodia,0.0
Ethiopia,0.00143518518519
The Gambia,3.08641975309e-05
Aruba,0.0
Swaziland,1.54320987654e-05
Argentina,0.00436728395062
Bolivia,0.00143518518519
Cameroon,0.000570987654321
Burkina Faso,0.00033950617284
Turkmenistan,0.00087962962963
Ghana,0.000324074074074
Saudi Arabia,0.00262345679012
Japan,0.0
Wallis & Futuna,0.0
Cape Verde,0.0
Slovenia,3.08641975309e-05
Guatemala,6.17283950617e-05
Zimbabwe,0.000509259259259
Christmas I.,0.0
Guinea,0.000308641975309
St. Vincent & the Grenadines,0.0
Jordan,0.000123456790123
St. Lucia,0.0
Dominica,0.0
Liberia,0.000123456790123
Maldives,0.0
Marshall Is.,0.0
Pakistan,0.00132716049383
Solomon Is.,0.0
Oman,0.000447530864198
St. Kitts & Nevis,0.0
Zambia,0.000987654320988
Albania,6.17283950617e-05
Gabon,0.000308641975309
Niue,0.0
Monaco,0.0
New Zealand,0.0
Yemen,0.000601851851852
Jamaica,0.0
Greenland,0.0100925925926
Samoa,0.0
Jan Mayen,0.00037037037037
United Arab Emirates,6.17283950617e-05
Guam,0.0
India,0.00388888888889
Azerbaijan,0.000308641975309
Lesotho,3.08641975309e-05
Turks & Caicos Is.,0.0
Kenya,0.000725308641975
South Korea,0.0
Tajikistan,0.000277777777778
Turkey,0.00121913580247
Afghanistan,0.000941358024691
Bangladesh,9.25925925926e-05
Mauritania,0.00135802469136
Lebanon,1.54320987654e-05
Gaza Strip,0.0
San Marino,0.0
British Virgin Is.,0.0
Mongolia,4.62962962963e-05
France,0.00100308641975
Bermuda,0.0
Namibia,0.00115740740741
Somalia,0.000771604938272
Peru,0.00162037037037
Laos,0.0
Northern Mariana Is.,0.0
Nauru,0.0
Seychelles,0.0
Norway,0.000848765432099
"Congo, DRC",0.0029012345679
Benin,0.000154320987654
Libya,0.00228395061728
Cuba,0.000138888888889
Montenegro,3.08641975309e-05
Cayman Is.,0.0
Togo,7.71604938272e-05
China,0.0033024691358
Armenia,4.62962962963e-05
Dominican Republic,9.25925925926e-05
St. Pierre & Miquelon,0.0
Falkland Is.,3.08641975309e-05
French Polynesia,0.0
Ukraine,0.00111111111111
Bahrain,0.0
Tonga,0.0
Indonesia,0.0
Western Sahara,0.000401234567901
St. Helena,0.0
Finland,0.00100308641975
Central African Republic,0.000771604938272
Mauritius,1.54320987654e-05
Liechtenstein,0.0
Belarus,0.000432098765432
Heard I. & McDonald Is.,0.0
Mali,0.00163580246914
Russia,0.0183641975309
Bulgaria,0.000216049382716
United States,0.00368827160494
Romania,0.000385802469136
Angola,0.00158950617284
Portugal,0.00016975308642
South Africa,0.00179012345679
Tokelau,0.0
Cyprus,0.0
Sweden,0.00114197530864
Qatar,0.0
Antigua & Barbuda,0.0
Malaysia,0.0
Austria,0.00016975308642
Vietnam,0.0
Mozambique,0.00103395061728
Uganda,0.000293209876543
Hungary,0.000154320987654
Niger,0.00155864197531
Brazil,0.0108641975309
The Bahamas,0.0
Panama,9.25925925926e-05
Costa Rica,7.71604938272e-05
Luxembourg,0.0
American Samoa,0.0
Andorra,1.54320987654e-05
Gibraltar,0.0
Ireland,0.000138888888889
Palau,0.0
Nigeria,0.00112654320988
Ecuador,0.000308641975309
Czech Republic,0.000138888888889
Brunei,0.0
Australia,0.0
Iran,0.00242283950617
Algeria,0.0033487654321
El Salvador,3.08641975309e-05
Tuvalu,0.0
Chile,0.00108024691358
Puerto Rico,0.0
Belgium,4.62962962963e-05
Kiribati,0.0
Haiti,3.08641975309e-05
Belize,3.08641975309e-05
Sierra Leone,7.71604938272e-05
Georgia,0.000138888888889
Denmark,9.25925925926e-05
Philippines,0.0
Moldova,6.17283950617e-05
Netherlands Antilles,0.0
Croatia,0.000108024691358
Malta,0.0
Guinea-Bissau,3.08641975309e-05
Thailand,0.0
Switzerland,0.000108024691358
Grenada,0.0
Iraq,0.000679012345679
Chad,0.00162037037037
Estonia,9.25925925926e-05
Uruguay,0.000262345679012
Mexico,0.000138888888889
Faroe Is.,0.0
French Southern & Antarctic Lands,1.54320987654e-05
Uzbekistan,0.000756172839506
Tunisia,0.000262345679012
Djibouti,1.54320987654e-05
Rwanda,4.62962962963e-05
Timor-Leste,0.0
Spain,0.000771604938272
Colombia,0.00140432098765
Reunion,0.0
Burundi,4.62962962963e-05
Slovakia,7.71604938272e-05
Pitcairn Is.,0.0
Fiji,0.0
Barbados,0.0
Madagascar,0.000802469135802
Italy,0.00054012345679
Suriname,0.000216049382716
Bhutan,1.54320987654e-05
Sudan,0.00322530864198
Nepal,0.000200617283951
Micronesia,0.0
Malawi,0.000154320987654
Bosnia & Herzegovina,7.71604938272e-05
Netherlands,6.17283950617e-05
Tanzania,0.00118827160494
South Georgia & the South Sandwich Is.,1.54320987654e-05
Anguilla,0.0
Kuwait,1.54320987654e-05
Israel,3.08641975309e-05
Virgin Is.,0.0
Iceland,0.000324074074074
Venezuela,0.00115740740741
Norfolk I.,0.0
Papua New Guinea,0.0
Cote d'Ivoire,0.000416666666667
Trinidad & Tobago,0.0
Sao Tome & Principe,0.0
Germany,0.00070987654321
Vanuatu,0.0
Martinique,0.0
Senegal,0.000246913580247
Kazakhstan,0.00529320987654
Poland,0.000648148148148
Eritrea,0.00016975308642
Kyrgyzstan,0.00033950617284
Mayotte,0.0
British Indian Ocean Territory,0.0
Montserrat,0.0
New Caledonia,0.0
Macedonia,3.08641975309e-05
North Korea,0.0
Paraguay,0.000524691358025
Latvia,0.00016975308642
Cocos Is.,0.0
Guyana,0.000262345679012
Syria,0.000277777777778
Guadeloupe,0.0
Cook Is.,0.0
Morocco,0.000555555555556
Honduras,0.000154320987654
Myanmar,0.0
Equatorial Guinea,1.54320987654e-05
Egypt,0.00141975308642
Nicaragua,0.00016975308642
Singapore,0.0
Serbia,0.000200617283951
Comoros,0.0
United Kingdom,0.000524691358025
Antarctica,0.0455709876543
Congo,0.000478395061728
Greece,0.00016975308642
Sri Lanka,9.25925925926e-05
French Guiana,9.25925925926e-05
Botswana,0.000787037037037
