file,missing_value,month,units,year
gpcp_1dd_v1.2_p1d.200004_data_monthlyMean.npy,-99999.,04,mm/day,2000
gpcp_1dd_v1.2_p1d.200105_data_monthlyMean.npy,-99999.,05,mm/day,2001
gpcp_1dd_v1.2_p1d.200608_data_monthlyMean.npy,-99999.,08,mm/day,2006
gpcp_1dd_v1.2_p1d.200301_data_monthlyMean.npy,-99999.,01,mm/day,2003
gpcp_1dd_v1.2_p1d.200101_data_monthlyMean.npy,-99999.,01,mm/day,2001
gpcp_1dd_v1.2_p1d.200409_data_monthlyMean.npy,-99999.,09,mm/day,2004
gpcp_1dd_v1.2_p1d.200002_data_monthlyMean.npy,-99999.,02,mm/day,2000
gpcp_1dd_v1.2_p1d.200302_data_monthlyMean.npy,-99999.,02,mm/day,2003
gpcp_1dd_v1.2_p1d.201509_data_monthlyMean.npy,-99999.,09,mm/day,2015
gpcp_1dd_v1.2_p1d.200402_data_monthlyMean.npy,-99999.,02,mm/day,2004
gpcp_1dd_v1.2_p1d.200403_data_monthlyMean.npy,-99999.,03,mm/day,2004
gpcp_1dd_v1.2_p1d.200008_data_monthlyMean.npy,-99999.,08,mm/day,2000
gpcp_1dd_v1.2_p1d.200307_data_monthlyMean.npy,-99999.,07,mm/day,2003
gpcp_1dd_v1.2_p1d.201211_data_monthlyMean.npy,-99999.,11,mm/day,2012
gpcp_1dd_v1.2_p1d.199810_data_monthlyMean.npy,-99999.,10,mm/day,1998
gpcp_1dd_v1.2_p1d.201004_data_monthlyMean.npy,-99999.,04,mm/day,2010
gpcp_1dd_v1.2_p1d.199702_data_monthlyMean.npy,-99999.,02,mm/day,1997
gpcp_1dd_v1.2_p1d.200909_data_monthlyMean.npy,-99999.,09,mm/day,2009
gpcp_1dd_v1.2_p1d.200902_data_monthlyMean.npy,-99999.,02,mm/day,2009
gpcp_1dd_v1.2_p1d.199902_data_monthlyMean.npy,-99999.,02,mm/day,1999
gpcp_1dd_v1.2_p1d.199803_data_monthlyMean.npy,-99999.,03,mm/day,1998
gpcp_1dd_v1.2_p1d.201503_data_monthlyMean.npy,-99999.,03,mm/day,2015
gpcp_1dd_v1.2_p1d.201001_data_monthlyMean.npy,-99999.,01,mm/day,2010
gpcp_1dd_v1.2_p1d.201303_data_monthlyMean.npy,-99999.,03,mm/day,2013
gpcp_1dd_v1.2_p1d.199704_data_monthlyMean.npy,-99999.,04,mm/day,1997
gpcp_1dd_v1.2_p1d.200904_data_monthlyMean.npy,-99999.,04,mm/day,2009
gpcp_1dd_v1.2_p1d.200407_data_monthlyMean.npy,-99999.,07,mm/day,2004
gpcp_1dd_v1.2_p1d.201304_data_monthlyMean.npy,-99999.,04,mm/day,2013
gpcp_1dd_v1.2_p1d.200801_data_monthlyMean.npy,-99999.,01,mm/day,2008
gpcp_1dd_v1.2_p1d.201006_data_monthlyMean.npy,-99999.,06,mm/day,2010
gpcp_1dd_v1.2_p1d.200210_data_monthlyMean.npy,-99999.,10,mm/day,2002
gpcp_1dd_v1.2_p1d.201106_data_monthlyMean.npy,-99999.,06,mm/day,2011
gpcp_1dd_v1.2_p1d.200605_data_monthlyMean.npy,-99999.,05,mm/day,2006
gpcp_1dd_v1.2_p1d.201502_data_monthlyMean.npy,-99999.,02,mm/day,2015
gpcp_1dd_v1.2_p1d.199611_data_monthlyMean.npy,-99999.,11,mm/day,1996
gpcp_1dd_v1.2_p1d.199612_data_monthlyMean.npy,-99999.,12,mm/day,1996
gpcp_1dd_v1.2_p1d.200709_data_monthlyMean.npy,-99999.,09,mm/day,2007
gpcp_1dd_v1.2_p1d.201102_data_monthlyMean.npy,-99999.,02,mm/day,2011
gpcp_1dd_v1.2_p1d.201003_data_monthlyMean.npy,-99999.,03,mm/day,2010
gpcp_1dd_v1.2_p1d.200509_data_monthlyMean.npy,-99999.,09,mm/day,2005
gpcp_1dd_v1.2_p1d.199903_data_monthlyMean.npy,-99999.,03,mm/day,1999
gpcp_1dd_v1.2_p1d.200501_data_monthlyMean.npy,-99999.,01,mm/day,2005
gpcp_1dd_v1.2_p1d.201409_data_monthlyMean.npy,-99999.,09,mm/day,2014
gpcp_1dd_v1.2_p1d.201302_data_monthlyMean.npy,-99999.,02,mm/day,2013
gpcp_1dd_v1.2_p1d.199802_data_monthlyMean.npy,-99999.,02,mm/day,1998
gpcp_1dd_v1.2_p1d.201207_data_monthlyMean.npy,-99999.,07,mm/day,2012
gpcp_1dd_v1.2_p1d.200405_data_monthlyMean.npy,-99999.,05,mm/day,2004
gpcp_1dd_v1.2_p1d.199610_data_monthlyMean.npy,-99999.,10,mm/day,1996
gpcp_1dd_v1.2_p1d.200209_data_monthlyMean.npy,-99999.,09,mm/day,2002
gpcp_1dd_v1.2_p1d.200005_data_monthlyMean.npy,-99999.,05,mm/day,2000
gpcp_1dd_v1.2_p1d.201408_data_monthlyMean.npy,-99999.,08,mm/day,2014
gpcp_1dd_v1.2_p1d.200306_data_monthlyMean.npy,-99999.,06,mm/day,2003
gpcp_1dd_v1.2_p1d.200001_data_monthlyMean.npy,-99999.,01,mm/day,2000
gpcp_1dd_v1.2_p1d.199901_data_monthlyMean.npy,-99999.,01,mm/day,1999
gpcp_1dd_v1.2_p1d.201410_data_monthlyMean.npy,-99999.,10,mm/day,2014
gpcp_1dd_v1.2_p1d.201005_data_monthlyMean.npy,-99999.,05,mm/day,2010
